#,Episode,Player A,Player B,First,Left Deck,Link,Right Deck,Link,Game 1,Game 2,Game 3,Game 4,Game 5,,
20,https://youtu.be/1B45RLrxacU,Benjamin Wheeler,Serge Jager,B,Grixis Reanimator,https://moxfield.com/decks/ej1dgbSq40Wym4ZLH96HEg,BUG Ninjas,https://moxfield.com/decks/cC1pkVt11Eqgr47bl9uzYA,Benjamin Wheeler,Serge Jager,Serge Jager,,,,
21,https://youtu.be/dPaK9U04HLg,Benjamin Wheeler,Serge Jager,B,Grixis Reanimator,https://moxfield.com/decks/ej1dgbSq40Wym4ZLH96HEg,Boros Equipment,https://moxfield.com/decks/YxkxeaTcZkmKk_JkvBTIDA,Serge Jager,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,Benjamin Wheeler,,
22,https://youtu.be/6-CI0US4n3U,Benjamin Wheeler,Serge Jager,A,Grixis Welder,https://moxfield.com/decks/7CPoqlK0ZEm4Aiyd1vKbjg,GW Enchantress,https://moxfield.com/decks/5Ok8P15MeUy406lZkVjugA,Serge Jager,Benjamin Wheeler,Serge Jager,,,,
23,https://youtu.be/pqDKPCNhg_U,Nelson Salahub,Serge Jager,A,Mono Black Storm,https://moxfield.com/decks/512-mw_t8EuukniTNhdn4Q,GW Enchantress,https://moxfield.com/decks/5Ok8P15MeUy406lZkVjugA,Nelson Salahub,Serge Jager,Serge Jager,,,,
24,https://youtu.be/DlVOAPBimSI,Benjamin Wheeler,Nelson Salahub,B,Sultai Control,https://moxfield.com/decks/WkRfRMWL0EeIeDAEh-7Wkw,Cradlehoof,https://moxfield.com/decks/MBPBXUdikE-Xks1nhXRHUg,Nelson Salahub,Nelson Salahub,Benjamin Wheeler,,,,
25,https://youtu.be/PZc4wmM1btQ,Benjamin Wheeler,Nelson Salahub,A,Grull Monsters,https://moxfield.com/decks/bEQOT-donkODd3qUEOsEkA,Cradlehoof,https://moxfield.com/decks/MBPBXUdikE-Xks1nhXRHUg,Benjamin Wheeler,Nelson Salahub,Benjamin Wheeler,,,,
26,https://youtu.be/yEa4F0_B84I,Benjamin Wheeler,Serge Jager,A,Jeskai Spells,https://moxfield.com/decks/_RpdjEf_LUmp-f76oqstRw,UW Artifact Beatdown,https://moxfield.com/decks/ird3k8vw-Uqt5VAisnsP4g,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
27,https://youtu.be/JxgouhKoy2A,Benjamin Wheeler,Serge Jager,B,Marty Proc,https://moxfield.com/decks/r2zfeh7xOUeEfluEDZJu5Q,UW Artifact Beatdown,https://moxfield.com/decks/ird3k8vw-Uqt5VAisnsP4g,Serge Jager,Benjamin Wheeler,Benjamin Wheeler,,,,
28,https://youtu.be/F3XZ0hvAXRQ,Benjamin Wheeler,Serge Jager,A,Flying Men,https://moxfield.com/decks/03nwbMiw_kuVPrfHsrpAyQ,WB CursePox,https://moxfield.com/decks/YPnsrzASuU2iwUQYC3zitg,Benjamin Wheeler,Benjamin Wheeler,,,,,
29,https://youtu.be/kUtNDDyHFeI,Benjamin Wheeler,Serge Jager,B,Marty Proc ,https://moxfield.com/decks/zQkmNXcyNkSOC-VsH5PRlQ,WB CursePox,https://moxfield.com/decks/YPnsrzASuU2iwUQYC3zitg,Serge Jager,Serge Jager,Benjamin Wheeler,,,,
30,https://youtu.be/tn2Fgxg6EzE,Benjamin Wheeler,Serge Jager,A,Paradox Academy,https://moxfield.com/decks/jonQbBzFkU6oKqrQpkvCEg,Abzan Hatebear,https://moxfield.com/decks/KK1C1rspBEi4RqiT4vfT6w,Benjamin Wheeler,Benjamin Wheeler,,,,,
31,https://youtu.be/UU2CqyVj4o4,Benjamin Wheeler,Serge Jager,B,Paradox Academy,https://moxfield.com/decks/jonQbBzFkU6oKqrQpkvCEg,UW Tempo,https://moxfield.com/decks/Ioqkh9yMuUSNtJyhy1Wylg,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
32,https://youtu.be/NFY5T2UAPmw,Benjamin Wheeler,Serge Jager,A,J U N D,https://moxfield.com/decks/VYS_kzQDCUGGiDSXmAGmbg,UW Tempo,https://moxfield.com/decks/Ioqkh9yMuUSNtJyhy1Wylg,Benjamin Wheeler,Benjamin Wheeler,,,,,
33,https://youtu.be/J_A_KDZRGyw,Benjamin Wheeler,Serge Jager,A,J U N D,https://moxfield.com/decks/VYS_kzQDCUGGiDSXmAGmbg,Abzan Hatebear,https://moxfield.com/decks/KK1C1rspBEi4RqiT4vfT6w,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,,
34,https://youtu.be/9l7n1k5xCKg,Benjamin Wheeler,Nelson Salahub,A,Mono-Black Aggro,https://moxfield.com/decks/oKuvEI2HO0CXE-zXbdiCyQ,Mono-Black Aggro,https://moxfield.com/decks/zle_NRHrI0-gyzsMqxRPrw,Benjamin Wheeler,Benjamin Wheeler,Nelson Salahub,Benjamin Wheeler,,,
35,https://youtu.be/Vx2HRf4c5jE,Benjamin Wheeler,Nelson Salahub,A,Naya Counters,https://moxfield.com/decks/-xMdLtwW6kCF4agmLWBuTQ,Mono-Black Aggro,https://moxfield.com/decks/zle_NRHrI0-gyzsMqxRPrw,Benjamin Wheeler,Benjamin Wheeler,Nelson Salahub,,,,
36,https://youtu.be/J3kQoZ-4kO0,Benjamin Wheeler,Serge Jager,B,Vampires,https://moxfield.com/decks/AxKsivudXk-7dirRDZYQ_g,Merfolk,https://moxfield.com/decks/-IjV_Lq71E-p4zSZWfBf_A,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
37,https://youtu.be/IDtqqOpP2Ws,Benjamin Wheeler,Serge Jager,A,Vampires,https://moxfield.com/decks/AxKsivudXk-7dirRDZYQ_g,Naya Midrange,https://moxfield.com/decks/2e4SIJHb1U-MfTOWg9TU4Q,Benjamin Wheeler,Serge Jager,Serge Jager,,,,
38,https://youtu.be/A2CLbBmQV_k,Benjamin Wheeler,Serge Jager,B,Mardu Initiative,https://moxfield.com/decks/5ajHuPRpMUOvFGhjLBTgTA,Naya Midrange,https://moxfield.com/decks/2e4SIJHb1U-MfTOWg9TU4Q,Serge Jager,Benjamin Wheeler,Serge Jager,,,,
39,https://youtu.be/XNDYiBLXPNg,Benjamin Wheeler,Nelson Salahub,A,Rat Scam,https://moxfield.com/decks/-YVqxF7mdUuJPtRPrIRVkw,Temur ScapeTurns,https://moxfield.com/decks/OJcmtKOxJkmSsNRCNZPmng,Benjamin Wheeler,Benjamin Wheeler,Nelson Salahub,,,,
40,https://youtu.be/74kWwQvkDQA,Benjamin Wheeler,Nelson Salahub,A,Sultai Gotcha,https://moxfield.com/decks/Q7N8E81PEEmgmK5hisGmUQ,Temur ScapeTurns,https://moxfield.com/decks/OJcmtKOxJkmSsNRCNZPmng,Benjamin Wheeler,Nelson Salahub,Nelson Salahub,,,,
41,https://youtu.be/B2wa2gOUC5g,Benjamin Wheeler,Serge Jager,A,Selesnya Idiots,https://moxfield.com/decks/Gr2WmzL2B0aMvvkFjcM_xQ,Food Fight,https://moxfield.com/decks/AtYBdDnzSUOR5Gfz82-SfQ,Benjamin Wheeler,Benjamin Wheeler,,,,,
42,https://youtu.be/1VxKA2EoUl4,Benjamin Wheeler,Serge Jager,A,Blue's Clues,https://moxfield.com/decks/TMw3Zg06_0qMc8t5HzXGvA,Food Fight,https://moxfield.com/decks/AtYBdDnzSUOR5Gfz82-SfQ,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
43,https://youtu.be/SL57qs1hhos,Benjamin Wheeler,Serge Jager,A,Selesnya Idiots,https://moxfield.com/decks/Gr2WmzL2B0aMvvkFjcM_xQ,Boros Equipment,https://moxfield.com/decks/cDt2p5fdokKSiq05O2p3sw,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
44,https://youtu.be/YywsNguH0DM,Nelson Salahub,Benjamin Wheeler,B,Grull Monsters,https://moxfield.com/decks/dkUsnssnrkWi0wT4sTjW3Q,Mardu Tokens,https://moxfield.com/decks/uWoGjv0hgUW9HODzIU5GKQ,Benjamin Wheeler,Benjamin Wheeler,Nelson Salahub,,,,
